﻿3111LUGSRV55-10, Thimble4-6mm2 12-1010mm O Type Copper Yellow, Lugs4-6mm-5.5-10, RV55-10, 2350
﻿3111LUGSFDD55-250, Thimble 4~6mm2(12~10) 24A Brass Female Yellow, Lugs-4-6mm-5.5-250, FDD55-250, 2300
﻿3111LUGSE4009-O, Insulated Cord Terminal 4mm Orange Tube Less, Lugs-4mm, E4009-O, 2200
﻿3111LUGSSV55-6L, Thimble4-6mm2 12-106mm I Type Copper Yellow, Lugs-4-6mm-5.5-6L, SV55-6L, 2100
﻿1031PBUTONXB7NA42, XB7NA-22mm Monolithic P/button Spring Return-Red, XB7NA42, XB7NA42, 2066
﻿3111LUGSSV2-32, Thimble 1.5-2.5mm2  U Type  Copper Blue, Lugs-2.5mm-2-3.2, SV2-32, 2000
﻿3111LUGSE7508-R, Insulated Cord Terminal 0.75mm Red Tube Less, Lugs-0.75mm, E7508-R, 2000
﻿3111LUGSE7508-Y, Insulated Cord Terminal 0.75mm Yellow Tube Less, Lugs-0.75mm, E7508-Y, 2000
﻿3111LUGSE7508-B, Insulated Cord Terminal 0.75mm Blue Tube Less, Lugs-0.75mm, E7508-B, 2000
﻿3111LUGSE7508-W, Insulated Cord Terminal 0.75mm White Tube Less, Lugs-0.75mm, E7508-W, 2000
﻿1091NUTGLD823240, Nut For Cable Gland M32  Black Polymide., 8232.40-M32, 823240, 1936
﻿3111LUGSRV55-5, Thimble4-6mm2 12-106mm O Type Copper Yellow, Lugs-4-6mm-RV5.5-5, RV55-5, 1920
﻿4371CFUSE420002, Cylindrical  HRC cartridge fuse 2 A., 420002, 420002, 1901
﻿3111LUGSTE2508, Thimble 2.5mm2 13 I Type Copper Red Tube less, Lugs-2.5mm-TE-2508, TE2508, 1900
﻿1031APUSHBZBE101, Single contact Block Head 22 mm1NO Screw Clamp, ZBE101, ZBE101, 1883
﻿1091CBGLND15453225, M32x1.5 Cable GlandsBlack Polyamid PA 6 IP68, 1545.32.25-M32, 15453225, 1836
﻿1091CBGLND8220, M20Nut Cable GlandsIP68GrayGlass Polyamide , 8220-M20, 8220, 1819
﻿1031MCB17047, MCB - Domae - 1P 20 Amp Breaking Capacity 6kA-AC, DOMAE61C20, 17047, 1817
﻿3111LUGSE1508-Y, Insulated Cord Terminal 1.5mm Yellow Tube Less, Lugs-1.5mm, E1508-Y, 1800
﻿3311GIVEAWHand-Bag2018, Hand Bag  S A Hamid &amp;CO 2018, H.B, Hand-Bag2018, 1795
﻿1031PBUTONXB4BA31, XB4 -22 mm Pushbutton Spring Return-Metal - Green, XB4BA31, XB4BA31, 1787
﻿1031MCB17044, MCB - Domae - 1P 6 Amp Breaking Capacity 6kA-AC	, DOMAE61C6, 17044, 1745
﻿3221CABLE221-415, Splicing connector 32 A 5 way 0.14 mm2 - 4 mm2, 221415, 221-415, 1702
﻿3111LUGSE4009-B, Insulated Cord Terminal 4mm Blue Tube Less, Lugs-4mm, E4009-B, 1700
﻿1031MCB17045, MCB - Domae - 1P 10 Amp Breaking Capacity 6kA-AC, DOMAE61C10, 17045, 1690
﻿1091NUTGLD8211, Nut For Cable Gland PG11  Light gray Polymide , 8211-PG11, 8211, 1686
﻿3061ACPFANMESH-PF4-R, Front Mesh For Panel Fan Fan Size 4 Inch Metal, MESH-PF4-R, MESH-PF4-R, 1662
﻿1091NUTGLD8216, Nut For Cable Gland PG16  Light gray Polymide , 8216-PG16, 8216, 1654
﻿3221ACCTB2004-1291, End And Intermediate Plate 1 mm/0.039 Thick Gray, 2004-1291, 2004-1291, 1622
﻿3221TB2016-1201, Terminal Block Din Rail 76 Amp 16mm Gray, 2016-1201, 2016-1201, 1593
﻿3223TB280-646,  Terminal Block4 Positions 2.5 mm² 24 A 28 AWG , 280-646 , 280-646, 1500
﻿3111LUGSE4009-GRY, Insulated Cord Terminal 4mm Grey Tube Less, Lugs-4mm, E4009-GRY, 1500
﻿3111LUGSE4009-R, Insulated Cord Terminal 4mm Red Tube Less, Lugs-4mm, E4009-R, 1500
﻿1031RLBASERXZE2S108M, Relay Socket DIN Rail Screw 8 Pins RXM Series, RXZE2S108M, RXZE2S108M, 1489
﻿3221TB2002-1201, Terminal Block Din Rail 24 Amp2.5mm Gray, 2002-1201, 2002-1201, 1476
﻿2642LUGSXCT-10-5, Lugs 10 mm  tube Type  Copper silver, XCT-10-5, XCT-10-5, 1460
﻿1091CBGLND15452013, M20x1.5 Cable Glands BlackPolyamid PA 6 IP68, 1545.20.13-M20, 15452013, 1451
﻿1041APUSHB216376, Single contact Block Head 22 mm1NO Screw Clamp, M22-K10, 216376, 1450
﻿2831TB3004100, FUSE Terminal Block 2~4 mmBlack, UK-5-HESI, 3004100, 1426
﻿3111LUGSRV2-35S, Thimble1.5-2.5mm2 16-143mm O Type Copper Blue, Lugs-2.5mm-RV2-3.5S, RV2-35S, 1400
﻿3111LUGSBV125, Sleeve 0.5-1.5mm2   Type   Red, Sleeve1.25, BV125, 1399
﻿1091CBGLND15552013, M20 Cable Glands Light Grey Polyamid PA 6 IP68, 1555.20.13-M20, 15552013, 1373
﻿3111LUGSE1008-Y, Insulated Cord Terminal 1mm Yellow Tube Less, Lugs-1mm, E1008-Y, 1300
﻿1712TMHC-101S, HC-101S Tie Mount For Tie Width 4.6 mm Polymide, HC-101S, HC-101S, 1300
﻿3221ACCTB2002-1291, End And Intermediate Plate 08 mm Thickness Gray, 2002-1291, 2002-1291, 1290
﻿1091CBGLND15551614, PG16 Cable Glands Light Grey Polyamid PA 6 IP68, 1555.16.14-PG16, 15551614, 1222
﻿3111LUGSE1008-B, Insulated Cord Terminal 1mm Blue Tube Less, Lugs-1mm, E1008-B, 1200
﻿3111LUGSE2508-Gry, Insulated Cord Terminal 2.5mm Grey Tube Less, Lugs-2.5mm, E2508-Gry, 1200
﻿3111LUGSE2508-Y, Insulated Cord Terminal 2.5mm Yellow Tube Less, Lugs-2.5mm, E2508-Y, 1200
﻿3311GIVEAWTable-Calendar2017, Table Calendar  S A HAMID &amp; CO 2017, T.C-2017, Table-Calendar2017, 1175
﻿1082FUSE3NA3822, Industrial Fuse 63 Ampere Rectangular -AC/DC Type, 3NA3822, 3NA3822, 1172
﻿1031PBUTONXB4BA42, XB4 -22 mm Pushbutton Spring Return-Metal - Red, XB4BA42, XB4BA42, 1131
﻿2831TB0444019, USLKG-35 Earth Terminal Block Y/G, USLKG-35, 0444019, 1112
﻿3111LUGSE2508-B, Insulated Cord Terminal 2.5mm Blue Tube Less, Lugs-2.5mm, E2508-B, 1100
﻿3022TB1608680000, Terminal Block Connector 2 Position  Beige 2.5mm² , ZTR2.5, 1608680000, 1099
﻿3022ACCTB9543020000, Accessories Fuse holder Rated cross-section: Dir, SIHA 1/G20 10-36V, 9543020000, 1099
﻿1091NUTGLD8221, Nut For Cable Gland PG21  Light gray Polymide , 8221-PG21, 8221, 1096
﻿3761MSCREWM5X10, Machine Screw M5X12, M5X12, M5X10, 1020
﻿3111LUGSUT15-3, Thimble 1.5 mm  U Type  Copper, UT1.5-3, UT15-3, 1000
﻿4371CFUSE420010, Cylindrical  HRC cartridge fuse 10 A, 420010, 420010, 990
﻿2792MICSWHV-16-1C6, Miniature  Basic Switch 16 A 250 VAC SPDT, V-16-1C6, V-16-1C6, 988
﻿1091NUTGLD822040, Nut For Cable Gland M20  Black Polymide., 8220.40-M20, 822040, 963
﻿1041PUSRIG216374, M22-A   Mounting Adapter  M22 - LED Elements, M22-A, 216374, 928
﻿3061LUGSLUGS-150-O, Thimble 150 mm Hole Dia 12mm O Type  Copper, LUGS-150-O, LUGS-150-O, 906
﻿1011JBKF1010B, Cable junction box130x180x77 with Terminals, KF1010B, KF1010B, 903
﻿3111LUGSBV2-4L, Thimble 1.5-2.5mm2 16-14 O Type  Copper Blue, Lugs-2.5mm-2-4L, BV2-4L, 900
﻿3111LUGSRV2-8, Thimble 1.5-2.5mm2 16-148mm  O Type Copper Blue, Lugs-2.5mm-2-8, RV2-8, 900
﻿3111LUGSMDD55-250, Thimble4-6mm2 12-106mm Male Copper Yellow, Lugs4-6mm-5.5-250, MDD55-250, 900
﻿1031RLBASERXZE2M114M, Relay Socket Flat  14Pins 10A Screw Connection, 940425, RXZE2M114M, 885
﻿1031PBUTONXB5AW73731M5, 22 mm illum Pushbutton Twin Head - 240VAC R+G, XB5AW73731M5, XB5AW73731M5, 845
﻿1091CBGLND8217, M16NutCable GlandsIP68GrayGlass Fiber polyamid	, 8217, 8217, 837
﻿3221ACCTB2006-1291, End And Intermediate Plate 1 mm Thick Gray, 2006-1291, 2006-1291, 824
﻿1031SSHXB4BD21, Selector Switch2 Position1 NOblack, XB4BD21, XB4BD21, 822
﻿1031GLRLYRXM4AB1P7, Miniature Relay Flat 14Pin 6ACoil 230VAC 4C/O, RXM4AB1P7, RXM4AB1P7, 819
﻿1091CBGLND15552118, PG21 Cable Glands Light Grey Polyamid PA 6 IP68, 1555.21.18-PG21, 15552118, 800
﻿3111LUGSRV2-6L, Thimble 1.5-2.5mm2 16-146mm  O Type Copper Blue, Lugs-2.5mm-2-6L, RV2-6L, 800
﻿3111LUGSMDD2-250, Thimble 2mm2 16-146mm Male Copper Blue, Lugs-2mm-2-250, MDD2-250, 800
﻿3111LUGSRV2-35L, Thimble 1.5-2.5mm2 12-103.5mm OType Copper Blue, Lugs2.5mm-2-3.5L, RV2-35L, 800
﻿3111LUGSMDD125-250, Thimble0.5-1.5mm2 Male Copper Red, Lugs-0.5-1.5mm-1.25-250, MDD125-250, 800
﻿1091CBGLND15551107, PG11 Cable Glands Light Grey Polyamid PA 6 IP68, 1555.11.07-PG11, 15551107, 796
﻿3061ACPFANMESH-PF6-R, Front Mesh For Panel Fan Fan Size 6 Inch Metal, MESH-PF6-R, MESH-PF6-R, 793
﻿1031MCRELYRm22TR33, Phase monitoring relay 380 ... 380V, RM22TR33, Rm22TR33, 768
﻿3111BLBLED-R-220VAC, LED Bulb For Pilot Light 220V AC Red, LED-R-220VAC, LED-R-220VAC, 765
﻿1082FUSE3NA3820, Industrial Fuse 50 Ampere Rectangular -AC/DC Type, 3NA3820, 3NA3820, 757
﻿2831TB3003923, USLKG-10N Earth Terminal Block 8kV  Y/G, USLKG-10N, 3003923, 746
﻿3221TB2004-1207, E Terminal Block Din Rail4mm Green/Yellow, 2004-1207, 2004-1207, 737
﻿3311GIVEAWExecutive-Diary2017NewTitle, Executive-DiaryS A Hamid &amp; CO 2017 New Title, E.D 2017, Executive-Diary2017NewTitle, 725
﻿3111BLBLED-G-220VAC, LED Bulb For Pilot Light 220V AC Green, LED-G-220VAC, LED-G-220VAC, 724
﻿1032AUXMCBA9A26927, Auxiliary Contact For MCB - 3 Ampere -240~415 VAC, A9A26927, A9A26927, 717
﻿1101FSBASEE92/32, Fuse Holder 2P 32 A Fuse size 10 x 38 mm , 2CM200883R1801, E92/32, 716
﻿1031AMCGCTLADN22, Aux. Contact for Magnetic Contactor - 2 NO + 2 NC, LADN22, LADN22, 702
﻿3111LUGSRV125-35S, Thimble 0.5-1.5mm2 22-16 O Type  Copper Red, Lugs-1.5mm-1.25-3.5S, RV125-35S, 700
﻿3061LUGSE6012-Black, Thimble 6 mm  Tube Type  Copper Black, E6012-B, E6012-Black, 700
﻿1091NUTGLD825563, Nut For Cable Glands M63 Light Grey RAL 7035 PA6, 8255.63-M63, 825563, 686
﻿1032APUSHBZBVB4, ZBVB - 22mm Light Block - Integral LED 24V - Red, ZBVB4, ZBVB4, 685
﻿3221ACCTB2010-1291, End And Intermediate Plate 1 mm Thick Gray, 2010-1291, 2010-1291, 669
﻿1032SSHXB7ED33, XB7ED-Selector Switch 3Position 230V AC-Stay Put, XB7ED33, XB7ED33, 664
﻿3221FUSDIS2002-1611, Fused Terminal Block 2 Positions2.5mm 16A, 2002-1611, 2002-1611, 651
﻿1031MCBA9F44102, MCB - IC60N - 1P 2Amp Breaking Capacity 10kA - AC, IC60N1PC2, A9F44102, 641
﻿2832TB3040054, STTB 2.5 Double-level terminal block 0.08 mm²-4mm², STTB 2.5/2P, 3040054, 636
﻿1091CBGLND155517110, M16 Cable Glands  Light Grey Polyamid PA 6 IP68, 1555.17.1.10-M16, 155517110, 634
﻿1041APUSHB216378, Single contact Block Head 22 mm1NC Screw Clamp, M22-K01, 216378, 629
﻿2301TB304150, Terminal Block  10 mm  Screw Connection  Grey, AVK10, 304150, 621
﻿1091NUTGLD8217	, Nut for Cable Glands - M16, 8217	, 8217	, 620
﻿1031MECHIKLA9D4002, Mechanical Interlocking For  LC1/LP1-D40 - D95, LA9D4002, LA9D4002, 611
﻿1031MCB17050, MCB - Domae - 1P 40 Amp Breaking Capacity 6kA-AC, DOMAE61C40, 17050, 607
﻿4371CFUSE420004, Cylindrical  HRC cartridge fuse 4 A., 420004, 420004, 603
﻿1091NUTGLD822540, Nut For Cable Gland M25  Black Polymide., 8225.40-M25, 822540, 599
﻿1141RLBASEPF083A-E, Relay Socket Round 8 Pins  250 V Screw Terminal, PF083A-E, PF083A-E, 599
﻿1031ETOLRLRD05, Thermal Over Load Relay-Setting range0.63 to 1.00, LRD05, LRD05, 586
﻿1031GLRLYRXM2AB2BD, RXM 2 C/O 24 V DC 12 A with LED 8Pin, RXM2AB2BD, RXM2AB2BD, 574
﻿1031AXMPCBGVAE20, TeSys GV2  GV3 - Auxiliary Contact - 2 NO , GVAE20, GVAE20, 573
﻿1091NUTGLD8242, Nut For Cable Gland PG42  Light gray Polymide , 8242-PG42, 8242, 572
﻿1031APUSHBZBE102, Single contact Block Head 22 mm1NC Screw Clamp, ZBE102, ZBE102, 572
﻿1031AUXMCBDF101, Auxiliary Contact For MCB -  Fuse Holder SP , DF101, DF101, 558
﻿1131GIVEAWWriting-Pad-Amber, Writing Pad  Amber Capacitor, W.R Pad-Amber, Writing-Pad-Amber, 558
﻿3311GIVEAWE-Diary2018, Executive-DiaryS A Hamid &amp; CO 2018 New Title, E.D2018, E-Diary2018, 550
﻿3221FUSDIS2006-1611, Fused Terminal Block 2 Positions6mm 16A, 2006-1611, 2006-1611, 537
﻿3221TB285-135, Terminal Block Din Rail 135 Amp35mm Gray, 285-135, 285-135, 528
﻿1091CBGLND155563144, M63 Cable GlandsLight GreyPolyamid PA 6 IP68, 1555.63.1.44-M63, 155563144, 524
﻿1083FUSE3NA3836, Industrial Fuse 160 Ampere Rectangular - AC Type, 3NA3836, 3NA3836, 520
﻿1651MCBB10D1002A, MCB - 1 P 2 Amp Breaking Capacity 10kA - AC/DC, B10D1002A, B10D1002A, 520
﻿3311GIVEAWWallCalendar, Wall Calendar  S A HAMID &amp; CO 2017, SAH-W.C 2017, WallCalendar, 507
﻿1091NUTGLD8240, M40 Nut Cable Glands  Light Grey RAL 7035, 8240-M40, 8240, 503
﻿1011JBDK0200G, Cable junction box 93x93x62, DK 0200 G, DK0200G, 501
﻿1091CBGLND15561307, PG13 Cable GlandsDark gray Polyamide PA 6 IP68, 1556.13.07-PG13, 15561307, 500
﻿4331TBMRK-S-6mm², Screwed Fused Rail Terminal Blocks 6mm  750V  63A, MRK-S , MRK-S-6mm², 500
﻿3802CFUSEC10G12, Cylindrical HRC Fuse10 X 38 mm  12 A 120 KA, C10G12, C10G12, 500
﻿3023TBWK25/U, TERMINAL BLOCK 2.5MM2 750/900V, WK2.5/U, WK25/U, 500
﻿3221GLRLY858-304, Relay Socket DC 24 V 4 Changeover contacts, 858-304, 858-304, 500
﻿1091CBGLND15452517, M25x1.5 Cable Glands Black Polyamid PA 6 IP68, 1545.25.17-M25, 15452517, 500
﻿3111LUGSE1008-R, Insulated Cord Terminal 1mm Red Tube Less, Lugs-1mm, E1008-R, 500
﻿3221ACSMOR211-812, Sleeves for wire markers 12 mm; for wire diameter, 211-812, 211-812, 500
﻿1031GLRLYRXM4AB2BD, RXM Series Power 4PDT 24 VDC 6 A 14Pin, RXM4AB2BD, RXM4AB2BD, 495
﻿4371CFUSE420006, Cylindrical  HRC cartridge fuse 6 A., 420006, 420006, 494
﻿1091NUTGLD8212, Nut For Cable Gland M12  Light gray Polymide., 8212-M12, 8212, 481
﻿3802CFUSEC10G8, Cylindrical HRC Fuse10 X 38 mm  8 A 120 KA, C10G8, C10G8, 481
﻿1031GLRLYRXM4AB2P7, RXM Series Power 4PDT 230 VAC 6 A 14Pin, RXM4AB2P7, RXM4AB2P7, 480
﻿1641GLRLYRM2S-U-DC24V, Miniature Relay Flat  8 Pin 5 A Coil 24VDCDPDT, RM2S-U-DC24V, RM2S-U-DC24V, 478
﻿2791GLRLYMK2P-I-AC220, Omron Relay  8 Pin  10 A  Coil 220 V AC  DPDT, MK2P-I-220VAC, MK2P-I-AC220, 478
﻿1031APUSHBZBVB3, ZBVB - 22mm Light Block - Integral LED 24V - Green, ZBVB3, ZBVB3, 475
﻿1031APUSHBZBVB5, ZBVB - 22mm Light Block - Integral LED 24V -Orange, ZBV-B5, ZBVB5, 469
﻿1031MPCBGV2ME07, MPCB 1.6...2.5 Ampere  Icu 100 kA - Button Type , GV2ME07, GV2ME07, 464
﻿1623MICSWHV73A18D8, SWITCH SNAP ACTION SPDT 5A 125 250 277 VAC, V7-3A18D8, V73A18D8, 457
﻿1021SOCKET110306, Wall Socket  - 16Amp - 3P 6H IP44  Blue, 16A-3Pin-IP44-Wall, 110306, 451
﻿1241CBLCBL-F25/1C-Black, 2.5mm Flexible Cable Copper  1 Core Black , CBL-F2.5/1C-Black, CBL-F25/1C-Black, 451
﻿1241CBLCBL-F6/1C-Black, Flexible Cable  Copper  1 Core  6 mm  Black, CBL-F6/1C-Black, CBL-F6/1C-Black, 450
﻿1621MICSWHBZ-2RQ18-T4-J, Micro Switch 15 A  250 VAC  SPDT  Steel Roller, BZ2RQ18-T4-J, BZ-2RQ18-T4-J, 449
﻿2831TB3004016, UK-5 Feed Terminal Block 4 mm -Grey, UK 5, 3004016, 443
﻿1011JBDK0202G, 93 x 93 x 62 mm Cable Junction Box IP66, DK 0202 G, DK0202G, 442
﻿1021INDPLG310, Plug Coupling - 16 Amp - 5 P 6 H  400V Red, 16A-5Pin-IP44-Coupler, 310, 433
﻿2301ACCTB495049, KD3  End Stopper  Thickness 8 mm  PA 66 Grey, KD3, 495049, 428
﻿4371CFUSE420032, Cylindrical  HRC cartridge fuse 32 A., 420032, 420032, 427
﻿1091CBGLND155550138, M50 Cable GlandsLight Grey  Polyamid PA 6 IP68, 1555.50.1.38-M50, 155550138, 422
﻿1161PILPLT22-G, P. Indi.Light 30mm  Filament 220VAC  Light - Green, PLT-22, PLT22-G, 421
﻿1031MCB24399, MCB - C60N - 1P 6Amp Breaking Capacity 10kA - AC, C60N1PC6, 24399, 416
﻿1001CABLE109021, Female Connector M8 3Pin Straigt 2M PVC Cable, V3-GM-2M-PVC, 109021, 410
﻿1091CBGLND155540133, M40 Cable GlandsLight Grey  Polyamid PA 6 IP68, 1555.40.1.33-M40, 155540133, 410
﻿3061LUGSLUGS-25-O, Thimble 25 mm Hole Dia 8 mm O Type  Copper, LUGS-25-O, LUGS-25-O, 410
﻿3311GIVEAWTable-Calendar2016, Table Calendar  S A Hamid &amp; CO 2016, T.C2016, Table-Calendar2016, 408
﻿1091NUTGLD8229, Nut For Cable Gland PG29  Light gray Polymide , 8229-PG29, 8229, 406
﻿1091CBGLND15554844, PG48 Cable GlandsLight Grey  Polyamid PA 6 IP68, 1555.48.44-PG48, 15554844, 401
﻿3061LUGSVE10-12, Thimble 10 mm  Tube Type  Copper Blue, VE10-12-Blue, VE10-12, 400
﻿3061LUGSVE10-12-Green, Thimble 10 mm  Tube Type  Copper Green, VE10-12-Green, VE10-12-Green, 400
﻿3061LUGSVE10-12-Yellow, Thimble 10 mm  Tube Type  Copper Yellow, VE10-12-Yellow, VE10-12-Yellow, 400
﻿3111LUGSPTV55-13, Thimble4-6mm2 12-106mm I Type Copper Yellow, Lugs-4-6mm-PTV5.5-13-Y, PTV55-13, 400
﻿1711CBLTIECV-310W, KSS Standard Nylon Cable Ties310 mmX4.8mm, CV-310W, CV-310W, 400
﻿3061LUGSVE10-12-Black, Thimble 10 mm  Tube Type  Copper Black, VE10-12-Black, VE10-12-Black, 400
﻿3111LUGSFDD125-250, Thimble1.5mm2 22-16  Copper Red Female, Lugs-1.5mm-1.25-250, FDD125-250, 400
﻿3061LUGSVE10-12-Red, Thimble 10 mm  Tube Type  Copper Red, VE10-12-Red, VE10-12-Red, 400
﻿3111LUGSBV55, Sleeve 4-6mm2 12-106mm I Type Copper Yellow, Sleeve4-6mm-BV5.5, BV55, 399
﻿1011ACHENUS1, Multikeytriangular 8 mm square 8 mm double-bit , US-1, US1, 398
﻿1001CIPS181094, NAMUR NC ɸ12mm Sn 2mm Cable PVC 2M 2P  8.2 V, NCB2-12GM35-N0, 181094, 396
﻿7973CFUSEFF16/250V, Cylindrical HRC Fuse5 X 20 1.6 A  250 VAC , FF1.6/250V, FF16/250V, 395
﻿3021TBWDU25/TC, Terminal Block  2.5 mm 1A  Grey, WDU2.5/TC, WDU25/TC, 393
﻿1091NUTGLD8250	, Nut For Cable Glands - M50, 8250	, 8250	, 391
﻿1091NUTGLD824848, PG48 Nut Cable Glands Light Gray 7035 Polyamide, 8248.48-PG48, 824848, 390
﻿3111SLVSBBS-50-Black, Busbar Sleeves  50 mm Black, BBS-50-Black, BBS-50-Black, 390
﻿3111SLVSBBS-60-Black, Busbar Sleeves  60 mm Black, BBS-60Black, BBS-60-Black, 390
﻿3111SLVSBBS-60-GREEN, Busbar Sleeves  60 mm Green, BBS-60GReen, BBS-60-GREEN, 390
﻿3061SLVSBBS-40-Black, Busbar Sleeves  40 mm Black, BBS-40-Black, BBS-40-Black, 390
﻿3221INSBRG2004-402, Push-In Type jumpers bar Insulated 2P 32 Amp , 2004-402, 2004-402, 390
