MT-140,Bulleh Shah Packaging (PVT) Ltd,4Km Riawind Road 7km kot Radha Kishan,Road Kasur,Kasur/Lahore,Punjab,+92 345 3045692,Paper Industry,,,
MT-140,Bulleh Shah Packaging (PVT) Ltd,4Km Riawind Road 7km kot Radha Kishan,Road Kasur,Kasur/Lahore,Punjab,+92 492 717341-46,Paper Industry,,,
MT-1153,C-XOR Engineering ,199 A4 P.G.E.C.H.S. Near Wapda Town ,,Lahore,Punjab,+92 42 35180653,Engineering,,,
MT-142,Century Paper &amp; Board Mills LTD,22 KM Lahore Multan Highway N-5,Jambar Khurd Kasur,Kasur/Lahore,Punjab,049-4510061,Paper Industry,,,
MT-1159,Classic Switchgear Pakistan ,Plot 161162 163 3.7-KM Chandrai Road,Chungi Ammer SiddhuFerozpur Road,Lahore,Punjab,:+92-42-35402562-3,Miscellaneous,,,
MT-154,Coca Cola Beverages Ltd Gujranwala,Khayali Bypass GT Road Gujranwal,,Gujranwala,Punjab,+92-55-4283301-7,Beverages Industry ,,,
MT-167,Coca Cola Beverages Pakistan Ltd,Plot No.140-148 Industrial Estate Phase,II Green Field Plant Multan,Multan,Punjab,92-61-6527222,Beverages Industry ,,,
MT-139,Coca Cola Beverages Pakistan Ltd Raiwind,23-KM Raiwind Road Lahore-53706,,Raiwind/Lahore,Punjab,+92-42-35320010-4,Beverages Industry ,,,
MT-12,Coca Cola Beverages Rahim Yar Khan,Shahbaz Pur Road Rahim Yar Khan,,Rahim Yar Khan,Punjab,+92-68-5870090 5870091 58700,Beverages Industry ,,,
MT-13,D.G Khan Cement,9-A Khayaban-e-Sarwar ,Multan Road,Multan,Punjab,+92-42-36360153 ,Cement Industry ,,,
MT-150,D.G Khan Cement Kalar kahar,P.O. Khairpur Kallar Kahar- Choa Saiden,Shah Road Distt. Chakwal,Chakwal,Punjab,+92-543-111-113-333,Cement Industry ,,,
MT-180,Dalda Foods (Pvt) Limited (Dairy Plant),Near Manga Raiwind Road,,lahore,Punjab,03362632058,Food Indusrty,,,
MT-171,Dawood Hercules Chemicals Limited,28km Lahore Sheikhupura Road,Sheikhupura,Sheikupura,Lahore,+92-56-3406063,Chemical Industry,,,
MT-1166,DDFC (Pvt.) Ltd,27 KM Multan Road ,,Lahore,Punjab,+92-42-37541422,Cement Industry ,,,
MT-1169,Descon Engineering Limited,2-KM Defense Road Off 24-KM,Off 24-KM Multan Road,Lahore,Lahore,+92 (42) 3596 6681-6  ,Power Industry,,,
MT-1112,Diamond Paint Industries Pvt Ltd,Peco Road Pindi Stop Kot Lakhpat,Lahore,Lahore,Punjab,042-35943566 35943368,Chemical Industry,,,
MT-1130,Electrical Master switchgear,Plot No.17/12 Street No.8 Abdul Sattar,Park Pindi Rajputan PECO Road Kot Lak,Lahore,Punjab,+92 (42) 3594 3446      ,Miscellaneous,,,
MT-1148,Electro Motion,Thokar Niazbaig Multan Road,,Lahore,Punjab,0300-4359501,Miscellaneous,,,
MT-1101,ENAR Petroleum,Karachi,,Karachi,Sindh,021-35073236,Petroleum Industry ,,,
MT-177,Engineering Vision,Lahore,,Lahore,Punjab,0300-4985105,Engineering,,,
MT-15,English Biscuit ,Plot 1-4 Sector 23 Korangi Industrial ,,Karchi,Sindh ,21-111 326 326(450),Food Indusrty,,,
MT-119,Engro Eximp Agri Product Mureedke,12km Mureedke Sheikhupura Road Mureedk,,Mureedke/Sheikupura,Punjab,021 35297501,Agriculture Industy,,,
MT-17,Engro Eximp Agriproducts,12 Km Muridke Sheikhupura road Muridke,,Muridke,Punjab,0302 8690313,Agriculture Industy,,,
MT-18,Engro Fertilizer Dahrki,Dahrki( Ghotki),,Ghotki,Sindh,0723 641001-9,Fertilzer Industry,,,
MT-111,Engro Fertilizers Ltd Port Qasim,Ez/1/P-II-IEastorn Bin Qasim Karachi,,Port Qasim/Karachi,Sindh,+9221 3474 0040,Fertilzer Industry,,+9221 3474 0051,
MT-112,Engro Food Sahiwal,8 km Pak Pattan Road Sahiwal Pakistan,,Shahiwal,Punjab,+92 40 4305775,Food Indusrty,,,
MT-19,Engro Food Sukkar,Sukkar,,Shukkar,Sindh,071 5804100-16,Food Indusrty,,,
MT-1106,EPCS Switchgear,12-C 1st Floor Commercial Area Pak Arab,Housing Scheem 17km Ferozpur Road,Lahore,Punjab,+92-42-35402531-2,Panel Manufacturer,,,
MT-116,Fatima Fertilizer Lahore,Office No 30 2nd Floor Mall of Lahore,,Lahore,Punjab,042 111 328-462,Fertilzer Industry,,,
MT-115,Fatima Fertilizer Rahim Yar Khan,Mukhtar Ghar Sadiqabad Rahim Yar Khan,,Sadiqabad/Rahim Yar Khan,Punjab,068 5951000,Fertilzer Industry,,,
MT-1158,Fauji Fertilizer Company Limited ,FFC SONA TOWER 156 The Mall,,Rawalpindi,Punjab, +92-51-845-3660 ,Fertilzer Industry,,,
MT-185,Fauji Fertilizer Port Qasim,Plot No. EZ/I/P-1 Eastern Zone,Port Qasim  Karachi 75020,Karachi,Sindh,021-32573605-9,Fertilzer Industry,,,
MT-182,Fauji Fertilzer Goth Machi,Goth Machi Sindh,,Goth Machi,Sindh,042 36369137-9,Fertilzer Industry,,,
MT-16,Fauji Fertilzer MirPur Mathelo,Distt. Ghotki,,Mirpur Mathelo,Sindh,(0723) 661500-09,Fertilzer Industry,,,
MT-1157,Fauji Foods Ltd,3rd Floor FFBL Complex 103,Upper Mall .,Lahore,Punjab,+92-42-99205933-34,Food Indusrty,,,
MT-147,Fauji Fresh &amp; Freez,11- Shahrah E Awan E Tijarat  Lahore,,Lahore,Punjab,+92-42-36369137,Agriculture Industy,,,
MT-164,Fecto Cement LTD,Sangjani Dist. Islamabad Pakistan,,Islamabad,Federal Capial &amp;AJK,+92-51-2296065-8,Cement Industry ,,,
MT-1151,Fespak Engineering,Johar Town ,,lahore,Punjab,042,Panel Manufacturer,,,
MT-1107,General Switchgear Engineering,Plot 251 Street 6 Industrial AreaI-9/2,Islamabad,Islamabad,Punjab,+92 51 2512232,Panel Manufacturer,,,
MT-187,Global Tech,G-44 Panorama Center Stadium Road,Rawalpindi-Pakistan,Rawalpindi,Punjab,4856020,Miscellaneous,,,
MT-1129,Hafeez Ghee and general Mills , Main Bahwalpur Road Bypass,,Multan,Punjab,0345 7200 810 ,Agriculture Industy,,,
MT-126,Haidri Beverages PVT LTD Islamabad,C.D.A.Industrial Triangle  Kahuta Road,Islamabad Pakistan,Islamabad,Punjab,051-4490490,Beverages Industry ,,,
MT-1140,Haleeb Foods Limited,62-KM Multan Road,BhaiPheru,Lahore,Punjab,03314803196,Miscellaneous,,,
MT-158,Honda Atlas Cars Pakistan Ltd,43-km Multan Road Manga Mandi Lahore,,Lahore,Punjab,042-5871100-9,Automotive Industry,,,
MT-1117,HUB Engineering ,M-1 Office 14Eden Tower ,Gulberg III,Lahore,Punjab,033228888407,Engineering,,,
MT-186-HUB,Hub Power ,31 km Hub Power stetion Hub,,HUB,Balochistan,021-111-221-122,Power Industry,,,
MT-128,IBRAHIM FIBRES LIMITED FSD,Ibrahim Fibers LTD 15-Club Road FSD,,Faisalablad,Punjab,041-2617836-41,Textile Industry,,,
MT-161,ICI Paints Pakistan Ltd,346 Ferozpur Road PO Box 273 Lahore,,Lahore,Punjab ,+92-42-111 551 111,Chemical Industry,,,
MT-149,ICI Pakistan Soda Ash Khewra,Soda Ash Bussiness socda Ash Works,Khewra District Jehlum,Jehlum,Punjab,92-544231396,Chemical Industry,,,
MT-162,ICI Polyester Fibre Business Pakistan,30km Lahore Sheikhupura Road ,Sheikupura,Sheikupura,Punjab,+92-56-3406313,Textile Industry,,,
MT-197,Imperial Electric Co. PVT LTD,Lahore,,Lahore,Punjab,042-36304861-5,Engineering,,,
MT-1165,INCOTEL ENGINEERING SERVICES,Office #:119 1st floor Divine Mega II,New Air Port Road,Lahore,Punjab,0321-4778505,Panel Manufacturer,,,
MT-189,Industrial Galaxy,110/3 Muslim Park Allama Iqbal Road,Garhi Shahu Lahore - 54000,Lahore,Punjab,0092-42-36374338 / 3631538,OEM Industry,,,
MT-1113,Industrial Process Solutions,523 J- Block,Johar Town,Lahore,Punjab,92.42.3530 3823,Automotive Industry,,,
MT-120,Innovative (Pvt) Limited Sheikupura,23-Km Sheikhupura Road Lahore,,Lahore,Punjab,042-37970168-9,Food Indusrty,,,
MT-174,Intech Process Automation Pvt Ltd,315 H III-Johar Town Lahore,,Lahore,Punjab,+92-42–111468324,Automotive Industry,,,
MT-130,Interloop Limited HD-II FSD,1-Km Khurrianwala - Jaranwala Road,Khurrianwala Faisalabad-Pakistan,Faisalabad,Punjab,041 2619724,Textile Industry,,,
MT-129,Interloop Limited HD-III Manga Mandi,8th KM Manga Raiwind Road Raiwind,District Kasur Lahore Pakistan,Kasur/Lhaore,Punjab,041-2619724,Textile Industry,,,
MT-1116,IR Trading Comapny,Office No.3 First Floor 14-B Davis Ro, Near Ufone Franchise ,Lahore,Punjab,0333-7688515,Panel Manufacturer,,,
MT-1154,Izhar Construction,35-Tipu Block New Garden Town Lahore,,Lahore,Punjab,111-323-111,Construction Company,,,
MT-131,Jadeed Feeds Kabirwala Khanewal,6-KM-Kabirwala Road Khanewal-Pakistan,,Khanewal,Punjab,065 2400736,Poultry Industry,,,
MT-1115,JDW Sugar Mills Limited (unit III),Ghotki ,Mauza LaluwaliNear Village Islamabad,Distt. Ghotki.,SindhPakistan,072-3662050-52,Sugar Industry ,,,
MT-138,Khyber Tobacco Company Limited,Nowshera Road Mardan KPK Pakistan,,Mardan,KPK,+92-937861882,Tobacco Industry,,,
MT-14,Kot Addo Power Company  KAPCO,Kot Addu District,,Muzaffargarh ,Punjab,+92 (0)66 2301 041,Power Industry,,,
MT-165,KSB Pumps,KSB Works Hazara Road Hassanabdal,,Hasanabdal,NWFP,057-2520236,OEM Industry,,,
MT-151,Lafarge Pakistan Cement Ltd kallar kahar,18 B Kaghan Road F 8  Markaz Islamabad,,Chakwal,Punjab,+92-51-4020134,Cement Industry ,,,
MT-1108,Lineman Pvt Ltd Lahore,58-A St.17 Cavalry Ground Lahore Cantt,,Lahore,Punjab,+92-42-36666757,Engineering,,,
MT-1147,M-Tech (Multi Technology) (PVT)LTD,22-KM Off Ferzepur Road ,,Lahore,Punjab,0423525637,Panel Manufacturer,,,
MT-1111,M-Tech International,2nd Foor 26-T CCA Phase II D.H.ALahore,,Lahore,Punjab,042-359702811-12,Miscellaneous,,,
MT-1103,Maple Leaf Cement Factory Limited,42- Lawrence RoadLahore Pakistan,,Lahore,Punjab,+92 (42)36278904-5,Cement Industry ,,,
MT-1155,Mari Petroleum Company Limited ( MPCL ),MPCL Dharki,,Dharki,Sindh,0344 5553332,Miscellaneous,,,
MT-157,Master Tiles And Ceramic Industries Ltd,17 Km GT Road Gujranwala Pakistan,,Gujranwala,Punjab,+92 435 811772,Ceramic Industries,,,
MT-1141,Matrix Consultant ,Karachi,,Karachi,Sindh,021,Miscellaneous,,,
MT-1120,Mecas Engineering (PVT) LTD,1/2 Km kartar bund road,Thokar Niaz Biag Off Multan road ,Lahore,Punjab,03018408988,Engineering,,,
MT-176,MEP Solutions,Office # 3 1st Floor Ross Residencia,Campus Road Canal Bank Lahore,Lahore,Punjab,+92-42-35220570,Engineering,,,
MT-1170,MIA Technical Services (PVT) LTD ,885 R-1 Joher Town Shokat Khanam Road,,Lahore,Punjab,+92-334-4712224,Engineering,,,
MT-160,Mitchell’s  Fruit Farms Limited,Renala Khurd Disttrict Okara,,Okara,Punjab,+92-44-2622908,Food Indusrty,,,
MT-1122,Murree Brewery Co ltd,National Park Road,,Rawalpindi.,Punjab,0092 51 5563873,Beverages Industry ,,,
MT-175,National Engineers,Office No. 03 Level 8 Arfa Software,Technology Park 346-B Ferozepur Road,Lahore,Punjab,92-42-35972002,Engineering,,,
MT-199,National Refinery  Limited Karachi,Port Qasim Karachi Pakistan,,Karachi,Sindh,111-675-675,Petroleum Industry ,,,
MT-155,Naubahar Bottling Company Gujranwala,38-40 Small Industrial Estate Gujranwala,,Gujranwala,Punjab,+92 55 4283301-7/+92 3253601-7,Beverages Industry ,,,
MT-133,Nestle Islamababd,Plot No 32 Sector I-10/3 Industrial ,Area Islamabad,Islamabad,Punjab,051-4445991-3,Food Indusrty,,,
MT-173,Nestle Karachi,Plot nO.A-23 North Western Industrial,Zone Port Qasim Karachi,Karachi,Sindh,021-34720152-4,Food Indusrty,,,
MT-172,Nestle Khanewal,Khanewal Road Kabirwala District,Khanewal,Khanewal,Punjab,065-111 637 853,Food Indusrty,,,
MT-1119,Nestle Pakistan,308 Upper Mall P. O. Box 874,,Lahore,Punjab,056 3406617-26,Food Indusrty,,,
MT-1119,Nestle Pakistan,308 Upper Mall P. O. Box 874,,Lahore,Punjab,065-111 637 853,Food Indusrty,,,
MT-1119,Nestle Pakistan,308 Upper Mall P. O. Box 874,,Lahore,Punjab,021-34720152-4,Food Indusrty,,,
MT-1119,Nestle Pakistan,308 Upper Mall P. O. Box 874,,Lahore,Punjab,0300 4162002,Food Indusrty,,,
MT-134,Nestle Sheikupura,29KM Sheikupura Road Lahore Pakistan,,Sheikupura,Punjab,056 3406617-26,Food Indusrty,,,
MT-1114,Nimir Chemicals,!st Floor Amin Arcade,&amp;-Durand Road,Lahore,Punjab,042-36376183,Chemical Industry,,,
MT-193,Nishat Mills Ltd,Head Office: 7 Main Gulberg Lahore,,Lahore,Punjab,+92-042-35716351-59,Textile Industry,,,
MT-192,Nishat Mills Ltd (Apparel),07-km Nishat Avenue Off 22km Ferozpur,Road Lahore,Lahore,Punjab,+92-042-5260503,Textile Industry,,,
MT-1121,Noon Pakistan Limited ,FFBL Complex 3rd floor 103 upper mall ,,Lahore,Punjab,03336905060,Miscellaneous,,,
MT-127,Northern Bottling Company Peshawar,16 Industrial Estate Jumrood Road,Hayatabad Peshawar KPK Pakistan,Peshawar,KPT,091 5817100-4,Beverages Industry ,,,
MT-11,PACKAGES LTD.,Shahrah-e-Roomi PO Amer Sidhu Lahore,,Lahore,Punjab,+92 42 35811541-46,Packing Industry,,,
MT-1109,PAKCEM LIMITED,18-B Kaghan Rd Islamabad,,Islamabad,Punjab,+92-051-4020106,Cement Industry ,,,
MT-123,Pakistan Atomic Energy Commission,Near K-Block P.O. Box 1114  Islamabad,,Islamabad,Punjab,92 51 9209032,Chemical Industry,,,
MT-1105,Pakistan Oil,POL House Morgah  Rawalpindi,,Rewalpindi,Punjab,+92-51-5487589-97,Petroleum Industry ,,,
MT-135,Pakistan Tobacco Comapny Akora,P.O Box PO Nowshehra 24040 District,Nowshehra KPK,Nowshehra,KPK,+92-923-630901-11,Tobacco Industry,,,
MT-136,Pakistan Tobacco Comapny Jehlum,P.O Box  # 1 49490 Jehlum Pakistan,,Jehlum,Punjab,+92-544-646500-7,Tobacco Industry,,,
MT-137,Pakistan Tobacco Comapny Lahore,Flat #128-129  Sector G Phase-1,Commercial Area DHA Lahore,Lahore,Punjab,042 35899359,Tobacco Industry,,,
MT-125,Pepsi Cola International Hattar,Plot 57/58 Phase IV Hattar Industrial,22610 KPK Pakistan,Hattar,KPK,099 5617091,Beverages Industry ,,,
MT-118,Pepsico International Sundar Estate,Plot 413 Sundar Industrial Estate,,Lahore,Punjab,92 (42) 35298470,Food Indusrty,,,
MT-1100,Pioneer Cement Limited,P.O Box NO. 50 Jauharabad District,Khushab,Khushab,Punjab,0454 898101-103,Cement Industry ,,,factory@pioneercement.com
MT-141,Presson Descon International PVT LTD,18KM Ferozpur Road Lahroe-Pakistan 53000,,Lahore,Punjab,+92 42 35880390,Electronics Industry,+92 42 35880390,+92-42-3592 3720,
MT-196,Procter &amp; Gamble Pakistan (Pvt) Ltd,Plot No. SP-1/I Eastern Industrial Zone,Port Qasim Karachi,Karachi,Sindh,+92-21-3424 3098,Miscellaneous,,,
MT-188,R.S Electric Panel Works,Lahore-Pakistan,,Lahore,Punjab,042-35825258,Panel Manufacturer,,,
MT-159,Rafhan Maize Products Co. Ltd,Rakh Canal East Road Faisalabad,,Faisalabad,Punjab,041-8540121-23,Food Indusrty,,,
MT-121,Rafhan Maize Products Co. Ltd FSD,Rakh Canal East Road Faisalabad,,Faisalabad,Punjab,92 41 8540121-23,Food Indusrty,,,
MT-146,Sadiq Feeds Sahiwal,48-C Satellite Town Chandni ChowK,Rawalpindi,Rawalpindi,Punjab,+92-51-111505050,Poultry Industry,,,
MT-1163,Sapphire Fibres Ltd,7-AK Main Boulevard Gulberg 2,,Lahore,Punjab,111-000-100 ,Miscellaneous,,,
MT-1125,Schneider Electric ,D-163 S.I.T.E,,Karchi,sindh,+92 (0) 300-8264738,Miscellaneous,,,
MT-184,Shamim &amp; CO.(Pvt) Ltd,Jail Road Multan,,Multan,Punjab,+92-061-4515307,Beverages Industry ,,,
MT-1162,Sinoma Energy Conservation Ltd,LCL PEZU WHR PORECT ,,Lahore,Punjab,（0092）03449299981,Miscellaneous,,,
MT-190,Standard Electromech Engineering,39/40 main Bazar GPN Gulberg III,Lahore,Lahore,Punjab,+92-42-35918075,Panel Manufacturer,,,
MT-1156,Sultan Sons Engg. (PVT) Ltd,141Ahmed Block new Garde Town ,,Lahore,Punjab,0334-4069880,Engineering,,,
MT-1142,THCHNO ENERGY ONE,Karam Elhai11Civie Center,M.A Johar Town ,Lahore,Punjab,04235401419,Panel Manufacturer,,,
MT-195,Total Parco Pakistan LTD,Muzaffargarh,,Muzaffargarh,,+92 066 2290990,Petroleum Industry ,,,
MT-166,Treet Corporation Limited,72-B Industrial Area Kot LakhpatLahore,,Lahore,Punjab,092-42-5830881,Miscellaneous,,,
MT-178,Tri Tech PVT LTD,21km off Ferozepur Road Main Green Cap,Shah Street Lahore,Lahore,Punjab,+92-42-35031580,Panel Manufacturer,,,
MT-1127,UEC (Pvt.) Limited,29-M Civic Centre Model Townl ,,Lahore,Punjab,35166670~,Miscellaneous,,,
MT-148,Unilever Pakistan Foods LTD Bahi Pehru,52-km Multan Road Bhai PheruPakistan,,Bahi Pheru,Punjab,+92-49-4510376~9,Food Indusrty,,,
MT-183,Unilever Pakistan Ltd (Tea Factory),Village No. 88/10-R Khanewal Pakistan,,Khanwal,Punjab,065-2556311 - 12,Food Indusrty,,,
MT-194,Unilever Pakistan(RYK),Laghari Road Rahim Yar Khan,,Rahim Yar Khan,Punjab,068-587906,Chemical Industry,,,
MT-124,United Detergents Unit SKP,22km Qilla Sattar Shah Sheikhupura Road,Lahore,Lahore,Punjab,042 7970136,Chemical Industry,,,
MT-143,Walls Ice Cream Lahore,46-km Multan Road Lahore,,Lahore,Punjab,+92-49-4540301,Food Indusrty,,,
MT-1104,ZAMKAF,34-N 1st Floor 3-D-II Green Town,Lahore,Lahore,Punjab,0321-9464846,Engineering,,,
MT-1131,ZIAI LIGHTING,Office # 18 Basement Royal Plaza 6th ,,Rawalpindi,Pujab,. Ph : 051 - 44 22 995 / 0321 ,Miscellaneous,,,
MT-122,ZRK Group,16-17 Industrial Estate Jumrud Road,,Peshawar,KPK,+92 (0) 91- 111-975-975,Miscellaneous,,,
